ID_Station;Date;NH4;Distance
14;14.05.1997;2.52;0.5
14;26.08.1997;0.145;0.5
14;04.12.1997;0.232;0.5
14;19.03.1998;0.16;0.5
14;03.06.1998;0;0.5
14;17.09.1998;0.02;0.5
14;07.12.1998;0.08;0.5
14;03.03.1999;0.031;0.5
14;08.06.1999;0.28;0.5
14;01.07.1999;0.019;0.5
14;05.10.1999;0.229;0.5
14;17.02.2000;0.33;0.5
14;11.05.2000;0.044;0.5
14;11.09.2000;0.032;0.5
14;13.12.2000;0.17;0.5
14;02.03.2001;0;0.5
14;07.06.2001;0.02;0.5
14;10.09.2001;0.863;0.5
14;06.11.2001;0.06;0.5
14;12.03.2002;0.168;0.5
14;06.06.2002;0.001;0.5
14;15.07.2002;0.668;0.5
14;07.11.2002;0.082;0.5
14;24.02.2003;0.603;0.5
14;13.06.2003;0.058;0.5
14;16.09.2003;0.053;0.5
14;14.10.2003;0.017;0.5
14;15.03.2004;0.014;0.5
14;10.06.2004;0.035;0.5
14;06.09.2004;0.057;0.5
14;14.12.2004;0.053;0.5
14;17.01.2005;0;0.5
14;14.05.2005;0.004;0.5
14;02.09.2005;0;0.5
14;22.12.2005;0.063;0.5
14;20.03.2006;0;0.5
14;09.06.2006;0.035;0.5
14;27.09.2006;0.005;0.5
14;14.11.2006;0.041;0.5
14;14.03.2007;0.02;0.5
14;11.05.2007;0;0.5
14;18.09.2007;0;0.5
14;06.12.2007;0.18;0.5
14;12.03.2008;0.16;0.5
14;06.06.2008;0.008;0.5
14;03.09.2008;0.1;0.5
14;09.12.2008;0.051;0.5
14;06.03.2009;0;0.5
14;18.05.2009;0;0.5
14;04.09.2009;0.041;0.5
14;06.11.2009;0.398;0.5
14;15.03.2010;0.004;0.5
14;02.06.2010;0.29;0.5
14;03.09.2010;1.27;0.5
14;01.12.2010;0.291;0.5
14;23.03.2011;0.056;0.5
14;11.05.2011;0.069;0.5
14;06.09.2011;0.12;0.5
14;07.12.2011;0.143;0.5
14;12.03.2012;0.02;0.5
14;08.06.2012;0.073;0.5
14;05.09.2012;0.16;0.5
14;05.11.2012;0.19;0.5
14;05.03.2013;0.177;0.5
14;16.05.2013;0;0.5
14;03.09.2013;0.75;0.5
14;11.11.2013;0.15;0.5
14;12.02.2014;0;0.5
14;11.06.2014;0.091;0.5
14;03.09.2014;0.12;0.5
14;04.11.2014;0.2;0.5
14;04.02.2015;0.004;0.5
14;04.06.2015;0.11;0.5
14;02.09.2015;0.035;0.5
14;14.12.2015;0.005;0.5
14;15.02.2016;0.158;0.5
14;16.05.2016;0;0.5
14;07.09.2016;0.513;0.5
14;08.11.2016;0.26;0.5
14;06.02.2017;0.061;0.5
14;11.05.2017;0.37;0.5
14;05.09.2017;0.11;0.5
14;13.11.2017;0.158;0.5
14;14.02.2018;0.034;0.5
14;24.05.2018;0.042;0.5
14;26.09.2018;0.061;0.5
14;11.12.2018;0.318;0.5
15;22.04.1993;0.12;136
15;08.09.1993;0;136
15;26.10.1993;0.14;136
15;01.02.1994;0;136
15;20.04.1994;0.08;136
15;11.07.1994;0;136
15;04.10.1994;0;136
15;01.02.1995;0.19;136
15;04.04.1995;0.1;136
15;10.07.1995;0.45;136
15;17.10.1995;0.075;136
15;21.03.1996;0.57;136
15;03.04.1996;0.65;136
15;05.08.1996;0.18;136
15;07.10.1996;0.02;136
15;12.03.1997;0.185;136
15;12.05.1997;0.915;136
15;01.09.1997;0.095;136
15;03.11.1997;0.135;136
15;02.02.1998;0.09;136
15;05.05.1998;0;136
15;11.09.1998;0.012;136
15;01.12.1998;0.015;136
15;02.03.1999;0.015;136
15;11.05.1999;0.085;136
15;01.09.1999;0.16;136
15;13.12.1999;0;136
15;15.02.2000;0.08;136
15;17.04.2000;0.176;136
15;04.07.2000;0.165;136
15;01.11.2000;0.074;136
15;11.03.2001;0.066;136
15;03.05.2001;0;136
15;06.08.2001;0.12;136
15;05.11.2001;0.063;136
15;05.02.2002;0.147;136
15;14.05.2002;0.03;136
15;01.08.2002;0.132;136
15;04.11.2002;0.059;136
15;12.03.2003;0.285;136
15;10.06.2003;0.077;136
15;12.09.2003;0.041;136
15;10.12.2003;0.051;136
15;13.01.2004;0.046;136
15;06.04.2004;0.096;136
15;10.08.2004;0.028;136
15;19.10.2004;0.016;136
15;13.01.2005;0;136
15;07.04.2005;0.038;136
15;10.08.2005;0;136
15;25.10.2005;0.049;136
15;09.02.2006;0.088;136
15;05.04.2006;0.04;136
15;13.07.2006;0.022;136
15;21.11.2006;0.009;136
15;16.01.2007;0;136
15;10.05.2007;0;136
15;23.07.2007;0.58;136
15;04.10.2007;0;136
15;14.01.2008;0;136
15;10.04.2008;0.18;136
15;16.07.2008;0.062;136
15;02.10.2008;0.077;136
15;09.01.2009;0.08;136
15;07.04.2009;0;136
15;10.08.2009;0.037;136
15;01.10.2009;0.018;136
15;12.01.2010;0;136
15;07.04.2010;0.14;136
15;07.07.2010;0.02;136
15;05.10.2010;0;136
15;10.01.2011;0.05;136
15;07.04.2011;0.124;136
15;02.08.2011;0.086;136
15;10.10.2011;0.025;136
15;10.01.2012;0;136
15;11.04.2012;0.024;136
15;08.08.2012;0.092;136
15;06.11.2012;0.021;136
15;08.01.2013;0.07;136
15;02.04.2013;0.07;136
15;12.08.2013;0;136
15;04.10.2013;0.084;136
15;14.01.2014;0;136
15;08.04.2014;0.07;136
15;04.07.2014;0.059;136
15;02.10.2014;0.093;136
15;20.01.2015;0;136
15;15.04.2015;0;136
15;15.07.2015;0.286;136
15;08.10.2015;0.089;136
15;14.01.2016;0;136
15;20.04.2016;0.088;136
15;13.07.2016;0;136
15;13.10.2016;0.39;136
15;02.02.2017;0;136
15;05.04.2017;0;136
15;04.07.2017;0.1;136
15;25.07.2017;0.032;136
15;18.10.2017;0;136
15;10.01.2018;0;136
15;10.04.2018;0.15;136
15;14.08.2018;0.094;136
15;08.10.2018;0.201;136
16;22.04.1993;0.18;153
16;20.07.1993;0.3;153
16;07.10.1993;0.16;153
16;11.01.1994;0.24;153
16;01.04.1994;0.25;153
16;11.07.1994;0;153
16;04.10.1994;0.04;153
16;03.01.1995;0.18;153
16;01.02.1995;0.165;153
16;02.03.1995;0.1;153
16;04.04.1995;0.01;153
16;11.05.1995;0.33;153
16;01.06.1995;0.39;153
16;10.07.1995;0.38;153
16;01.08.1995;0.49;153
16;14.09.1995;0.46;153
16;17.10.1995;0.57;153
16;14.11.1995;0.066;153
16;06.12.1995;0.185;153
16;23.01.1996;0.345;153
16;06.02.1996;0.265;153
16;21.03.1996;0.58;153
16;03.04.1996;0.635;153
16;05.05.1996;0.305;153
16;05.06.1996;0.2;153
16;04.07.1996;0.065;153
16;05.08.1996;0;153
16;02.09.1996;0.04;153
16;07.10.1996;0.04;153
16;11.11.1996;0;153
16;04.12.1996;0.125;153
16;09.01.1997;0.3;153
16;13.02.1997;0.57;153
16;12.03.1997;0.25;153
16;08.04.1997;0.34;153
16;12.05.1997;0.035;153
16;03.06.1997;0.145;153
16;01.07.1997;0.08;153
16;04.08.1997;0.125;153
16;01.09.1997;0.345;153
16;06.10.1997;0.105;153
16;03.11.1997;0.138;153
16;02.12.1997;0.1;153
16;12.01.1998;0.181;153
16;02.02.1998;0.01;153
16;03.03.1998;0.04;153
16;01.04.1998;0;153
16;05.05.1998;0;153
16;01.06.1998;0;153
16;01.07.1998;0.003;153
16;04.08.1998;0.005;153
16;11.09.1998;0.004;153
16;07.10.1998;0;153
16;03.11.1998;0.029;153
16;01.12.1998;0.03;153
16;04.01.1999;0.002;153
16;03.02.1999;0.001;153
16;02.03.1999;0;153
16;05.04.1999;0.002;153
16;11.05.1999;0.09;153
16;03.06.1999;0.271;153
16;01.07.1999;0;153
16;02.08.1999;0;153
16;01.09.1999;0;153
16;05.10.1999;0;153
16;10.11.1999;0.012;153
16;13.12.1999;0;153
16;12.01.2000;0.06;153
16;15.02.2000;0.12;153
16;13.03.2000;0.05;153
16;17.04.2000;0;153
16;10.05.2000;0;153
16;07.06.2000;0.061;153
16;04.07.2000;0.15;153
16;08.08.2000;0.002;153
16;27.08.2000;0.02;153
16;04.09.2000;0.113;153
16;07.09.2000;0.065;153
16;11.09.2000;0.01;153
16;14.09.2000;0.106;153
16;18.09.2000;0.08;153
16;28.09.2000;0.127;153
16;09.10.2000;0.074;153
16;01.11.2000;0.054;153
16;05.12.2000;0.096;153
16;10.01.2001;0.057;153
16;06.02.2001;0.135;153
16;11.03.2001;0.081;153
16;03.04.2001;0.043;153
16;03.05.2001;0.063;153
16;11.06.2001;0.43;153
16;09.07.2001;0;153
16;06.08.2001;0.116;153
16;03.09.2001;0.027;153
16;08.10.2001;0.03;153
16;05.11.2001;0.084;153
16;03.12.2001;0.068;153
16;09.01.2002;0.158;153
16;05.02.2002;0.153;153
16;13.03.2002;0;153
16;09.04.2002;0.114;153
16;14.05.2002;0.03;153
16;04.06.2002;0.014;153
16;10.07.2002;0.022;153
16;01.08.2002;0.148;153
16;02.09.2002;0;153
16;01.10.2002;0.12;153
16;04.11.2002;0.071;153
16;02.12.2002;0.01;153
16;13.01.2003;0.2;153
16;19.02.2003;0.3;153
16;12.03.2003;0.223;153
16;14.04.2003;0.014;153
16;12.05.2003;0.054;153
16;10.06.2003;0.02;153
16;02.07.2003;0.018;153
16;12.08.2003;0.014;153
16;12.09.2003;0.038;153
16;10.10.2003;0.043;153
16;13.11.2003;0.042;153
16;10.12.2003;0.043;153
16;13.01.2004;0.04;153
16;12.02.2004;0;153
16;11.03.2004;0;153
16;06.04.2004;0.057;153
16;06.05.2004;0.034;153
16;09.06.2004;0;153
16;07.07.2004;0;153
16;10.08.2004;0.029;153
16;27.09.2004;0.021;153
16;19.10.2004;0.013;153
16;02.11.2004;0.007;153
16;16.12.2004;0.023;153
16;13.01.2005;0;153
16;07.02.2005;0;153
16;10.03.2005;0;153
16;07.04.2005;0.065;153
16;12.05.2005;0.05;153
16;08.06.2005;0;153
16;20.07.2005;0.007;153
16;10.08.2005;0;153
16;19.09.2005;0.075;153
16;24.10.2005;0.09;153
16;15.11.2005;0;153
16;12.12.2005;0;153
16;16.01.2006;0;153
16;09.02.2006;0.063;153
16;15.03.2006;0;153
16;05.04.2006;0.038;153
16;12.05.2006;0;153
16;07.06.2006;0.017;153
16;13.07.2006;0.06;153
16;28.08.2006;0.041;153
16;28.09.2006;0;153
16;12.10.2006;0.012;153
16;21.11.2006;0.005;153
16;06.12.2006;0;153
16;16.01.2007;0.015;153
16;22.02.2007;0.001;153
16;14.03.2007;0.012;153
16;12.04.2007;0.13;153
16;10.05.2007;0;153
16;15.06.2007;0;153
16;23.07.2007;0.06;153
16;21.08.2007;0;153
16;10.09.2007;0;153
16;04.10.2007;0.01;153
16;13.11.2007;0.125;153
16;03.12.2007;0.12;153
16;14.01.2008;0.002;153
16;01.02.2008;0.017;153
16;13.03.2008;0.019;153
16;10.04.2008;0.13;153
16;13.05.2008;0.04;153
16;04.06.2008;0.034;153
16;16.07.2008;0.05;153
16;13.08.2008;0.03;153
16;02.09.2008;0.7;153
16;02.10.2008;0.097;153
16;12.11.2008;0.114;153
16;10.12.2008;0.023;153
16;09.01.2009;0.114;153
16;03.02.2009;0.017;153
16;04.03.2009;0;153
16;06.04.2009;0;153
16;19.05.2009;0.1;153
16;04.06.2009;0;153
16;07.07.2009;0.135;153
16;10.08.2009;0.188;153
16;01.09.2009;0.026;153
16;01.10.2009;0.024;153
16;03.11.2009;0.021;153
16;02.12.2009;0.119;153
16;12.01.2010;0.151;153
16;10.02.2010;0.064;153
16;10.03.2010;0.095;153
16;07.04.2010;0.16;153
16;12.05.2010;0.27;153
16;02.06.2010;0.24;153
16;07.07.2010;0.053;153
16;09.08.2010;0.006;153
16;06.09.2010;0.082;153
16;05.10.2010;0.03;153
16;18.11.2010;0.018;153
16;07.12.2010;0;153
16;10.01.2011;0.086;153
16;09.02.2011;0.17;153
16;21.03.2011;0.17;153
16;05.04.2011;0.134;153
16;10.05.2011;0;153
16;06.06.2011;0.03;153
16;05.07.2011;0.022;153
16;02.08.2011;0.025;153
16;05.09.2011;0.061;153
16;12.10.2011;0.061;153
16;07.11.2011;0.115;153
16;06.12.2011;0.091;153
16;12.01.2012;0;153
16;09.02.2012;0.02;153
16;01.03.2012;0.028;153
16;09.04.2012;0.006;153
16;15.05.2012;0.061;153
16;05.06.2012;0.063;153
16;16.07.2012;0.084;153
16;06.08.2012;0.023;153
16;06.09.2012;0.066;153
16;08.10.2012;0.052;153
16;01.11.2012;0.11;153
16;06.12.2012;0.054;153
16;02.01.2013;0.11;153
16;07.02.2013;0.11;153
16;04.03.2013;0;153
16;04.04.2013;0.11;153
16;15.05.2013;0.025;153
16;10.06.2013;0.086;153
16;04.07.2013;0;153
16;15.08.2013;0;153
16;03.09.2013;0.039;153
16;02.10.2013;0.069;153
16;07.11.2013;0.048;153
16;13.12.2013;0.06;153
16;14.01.2014;0;153
16;11.02.2014;0;153
16;24.03.2014;0.048;153
16;08.04.2014;0.1;153
16;13.05.2014;0.11;153
16;01.06.2014;0.015;153
16;04.07.2014;0.11;153
16;01.08.2014;0.15;153
16;03.09.2014;0.03;153
16;02.10.2014;0.071;153
16;04.11.2014;0.18;153
16;03.12.2014;0;153
16;20.01.2015;0.024;153
16;03.02.2015;0;153
16;06.03.2015;0;153
16;15.04.2015;0;153
16;20.05.2015;0.054;153
16;03.06.2015;0;153
16;15.07.2015;0.16;153
16;14.08.2015;0.024;153
16;01.09.2015;0;153
16;08.10.2015;0.162;153
16;04.11.2015;0;153
16;09.12.2015;0;153
16;14.01.2016;0;153
16;11.02.2016;0;153
16;14.03.2016;0.026;153
16;20.04.2016;0.135;153
16;11.05.2016;0;153
16;06.06.2016;0;153
16;13.07.2016;0.012;153
16;11.08.2016;0.1;153
16;05.09.2016;0;153
16;13.10.2016;0.26;153
16;01.11.2016;0.092;153
16;13.12.2016;0.33;153
16;23.01.2017;0;153
16;02.02.2017;0;153
16;15.03.2017;0.065;153
16;05.04.2017;0;153
16;15.05.2017;0;153
16;07.06.2017;0.042;153
16;04.07.2017;0.092;153
16;25.07.2017;0;153
16;08.08.2017;0.029;153
16;29.08.2017;0;153
16;05.09.2017;0;153
16;18.10.2017;0.012;153
16;14.11.2017;0.017;153
16;06.12.2017;0.116;153
16;10.01.2018;0;153
